sessionId;userId;mentalDemand;physicalDemand;temporalDemand;performance;effort;frustration;created_at
testuser1_session_1764755882.580705;testuser1;0;0;0;77;0;0;2025-12-03T12:00:32.846048
testuser2_session_1764756603.46013;testuser2;0;0;0;98;0;0;2025-12-03T12:11:36.747565
USER_1764764890837_406_session_1764757757.98064;USER_1764764890837_406;0;0;0;50;0;0;2025-12-03T12:31:14.244046
USER_1764765079711_515_session_1764757917.275326;USER_1764765079711_515;50;50;50;50;50;50;2025-12-03T12:34:12.852765
USER_1764765874903_604_session_1764758721.027966;USER_1764765874903_604;0;0;0;95;0;0;2025-12-03T12:47:10.092260
USER_1764765874903_604_session_1764758830.440143;USER_1764765874903_604;30;10;10;95;20;0;2025-12-03T12:49:36.224149
USER_1764765874903_604_session_1764758976.572153;USER_1764765874903_604;50;10;20;95;30;10;2025-12-03T12:52:44.521010
USER_1765469146731_325_session_1765462853.839382;USER_1765469146731_325;10;10;30;80;10;10;2025-12-11T16:23:36.336214
USER_1765469146731_325_session_1765463016.661792;USER_1765469146731_325;50;50;50;50;50;50;2025-12-11T16:25:19.260605
USER_1765469146731_325_session_1765463119.60197;USER_1765469146731_325;50;50;50;50;50;50;2025-12-11T16:26:48.791002
